sku,date,units_sold,stockout,name,unit_cost,unit_price
SKU-COLA-330,2026-03-02,45.88,0,Cola 330ml,0.6,1.5
SKU-COLA-330,2026-03-03,39.924,0,,,
SKU-COLA-330,2026-03-04,57.079,0,,,
SKU-COLA-330,2026-03-05,43.564,0,,,
SKU-COLA-330,2026-03-06,60.037,0,,,
SKU-COLA-330,2026-03-07,5.422,1,,,
SKU-COLA-330,2026-03-08,60.584,0,,,
SKU-COLA-330,2026-03-09,41.065,0,,,
SKU-COLA-330,2026-03-10,41.423,0,,,
SKU-COLA-330,2026-03-11,42.882,0,,,
SKU-COLA-330,2026-03-12,47.891,0,,,
SKU-COLA-330,2026-03-13,52.034,0,,,
SKU-COLA-330,2026-03-14,79.207,0,,,
SKU-COLA-330,2026-03-15,77.788,0,,,
SKU-COLA-330,2026-03-16,42.689,0,,,
SKU-COLA-330,2026-03-17,40.29,0,,,
SKU-COLA-330,2026-03-18,45.954,0,,,
SKU-COLA-330,2026-03-19,47.978,0,,,
SKU-COLA-330,2026-03-20,57.148,0,,,
SKU-COLA-330,2026-03-21,87.875,0,,,
SKU-COLA-330,2026-03-22,73.588,0,,,
SKU-COLA-330,2026-03-23,36.762,0,,,
SKU-COLA-330,2026-03-24,40.023,0,,,
SKU-COLA-330,2026-03-25,52.366,0,,,
SKU-COLA-330,2026-03-26,51.986,0,,,
SKU-COLA-330,2026-03-27,58.213,0,,,
SKU-COLA-330,2026-03-28,74.634,0,,,
SKU-COLA-330,2026-03-29,80.469,0,,,
SKU-COLA-330,2026-03-30,42.581,0,,,
SKU-COLA-330,2026-03-31,5.629,1,,,
SKU-COLA-330,2026-04-01,7.294,1,,,
SKU-COLA-330,2026-04-02,46.998,0,,,
SKU-COLA-330,2026-04-03,49.563,0,,,
SKU-COLA-330,2026-04-04,91.386,0,,,
SKU-COLA-330,2026-04-05,65.324,0,,,
SKU-COLA-330,2026-04-06,39.631,0,,,
SKU-COLA-330,2026-04-07,41.224,0,,,
SKU-COLA-330,2026-04-08,53.736,0,,,
SKU-COLA-330,2026-04-09,51.618,0,,,
SKU-COLA-330,2026-04-10,62.487,0,,,
SKU-COLA-330,2026-04-11,73.332,0,,,
SKU-COLA-330,2026-04-12,75.568,0,,,
SKU-BREAD-800,2026-03-02,17.806,0,Bread 800g,1.2,2.4
SKU-BREAD-800,2026-03-03,17.737,0,,,
SKU-BREAD-800,2026-03-04,22.103,0,,,
SKU-BREAD-800,2026-03-05,20.956,0,,,
SKU-BREAD-800,2026-03-06,21.871,0,,,
SKU-BREAD-800,2026-03-07,34.534,0,,,
SKU-BREAD-800,2026-03-08,27.077,0,,,
SKU-BREAD-800,2026-03-09,13.816,0,,,
SKU-BREAD-800,2026-03-10,16.865,0,,,
SKU-BREAD-800,2026-03-11,18.41,0,,,
SKU-BREAD-800,2026-03-12,21.434,0,,,
SKU-BREAD-800,2026-03-13,20.623,0,,,
SKU-BREAD-800,2026-03-14,28.126,0,,,
SKU-BREAD-800,2026-03-15,24.962,0,,,
SKU-BREAD-800,2026-03-16,14.672,0,,,
SKU-BREAD-800,2026-03-17,15.979,0,,,
SKU-BREAD-800,2026-03-18,19.482,0,,,
SKU-BREAD-800,2026-03-19,4.722,1,,,
SKU-BREAD-800,2026-03-20,22.928,0,,,
SKU-BREAD-800,2026-03-21,36.52,0,,,
SKU-BREAD-800,2026-03-22,29.054,0,,,
SKU-BREAD-800,2026-03-23,16.219,0,,,
SKU-BREAD-800,2026-03-24,19.42,0,,,
SKU-BREAD-800,2026-03-25,19.054,0,,,
SKU-BREAD-800,2026-03-26,3.729,1,,,
SKU-BREAD-800,2026-03-27,21.982,0,,,
SKU-BREAD-800,2026-03-28,35.799,0,,,
SKU-BREAD-800,2026-03-29,26.01,0,,,
SKU-BREAD-800,2026-03-30,14.995,0,,,
SKU-BREAD-800,2026-03-31,16.3,0,,,
SKU-BREAD-800,2026-04-01,21.022,0,,,
SKU-BREAD-800,2026-04-02,20.435,0,,,
SKU-BREAD-800,2026-04-03,3.716,1,,,
SKU-BREAD-800,2026-04-04,35.109,0,,,
SKU-BREAD-800,2026-04-05,29.641,0,,,
SKU-BREAD-800,2026-04-06,14.385,0,,,
SKU-BREAD-800,2026-04-07,17.577,0,,,
SKU-BREAD-800,2026-04-08,21.104,0,,,
SKU-BREAD-800,2026-04-09,17.12,0,,,
SKU-BREAD-800,2026-04-10,22.169,0,,,
SKU-BREAD-800,2026-04-11,28.073,0,,,
SKU-BREAD-800,2026-04-12,31.355,0,,,
SKU-ICE-500,2026-03-02,7.059,0,Ice cream 500ml,2.0,4.5
SKU-ICE-500,2026-03-03,6.943,0,,,
SKU-ICE-500,2026-03-04,7.489,0,,,
SKU-ICE-500,2026-03-05,7.246,0,,,
SKU-ICE-500,2026-03-06,8.843,0,,,
SKU-ICE-500,2026-03-07,12.636,0,,,
SKU-ICE-500,2026-03-08,11.937,0,,,
SKU-ICE-500,2026-03-09,6.767,0,,,
SKU-ICE-500,2026-03-10,1.932,1,,,
SKU-ICE-500,2026-03-11,9.077,0,,,
SKU-ICE-500,2026-03-12,8.711,0,,,
SKU-ICE-500,2026-03-13,9.61,0,,,
SKU-ICE-500,2026-03-14,12.533,0,,,
SKU-ICE-500,2026-03-15,11.438,0,,,
SKU-ICE-500,2026-03-16,7.328,0,,,
SKU-ICE-500,2026-03-17,7.305,0,,,
SKU-ICE-500,2026-03-18,8.851,0,,,
SKU-ICE-500,2026-03-19,7.079,0,,,
SKU-ICE-500,2026-03-20,7.575,0,,,
SKU-ICE-500,2026-03-21,14.236,0,,,
SKU-ICE-500,2026-03-22,11.079,0,,,
SKU-ICE-500,2026-03-23,5.761,0,,,
SKU-ICE-500,2026-03-24,7.294,0,,,
SKU-ICE-500,2026-03-25,8.714,0,,,
SKU-ICE-500,2026-03-26,8.251,0,,,
SKU-ICE-500,2026-03-27,9.29,0,,,
SKU-ICE-500,2026-03-28,13.149,0,,,
SKU-ICE-500,2026-03-29,11.368,0,,,
SKU-ICE-500,2026-03-30,6.94,0,,,
SKU-ICE-500,2026-03-31,6.791,0,,,
SKU-ICE-500,2026-04-01,8.585,0,,,
SKU-ICE-500,2026-04-02,7.191,0,,,
SKU-ICE-500,2026-04-03,10.05,0,,,
SKU-ICE-500,2026-04-04,2.822,1,,,
SKU-ICE-500,2026-04-05,11.495,0,,,
SKU-ICE-500,2026-04-06,6.625,0,,,
SKU-ICE-500,2026-04-07,6.784,0,,,
SKU-ICE-500,2026-04-08,8.377,0,,,
